16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,160,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,20,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,21,16,16,16,16,16,16,16,160,16,16,16,16,16,16,16,16,
16,16,16,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,24,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,160,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,16,16,16,160,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,160,16,16,16,16,16,16,16,16,16,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
